Категория: Все категории

Неделя,Java: (Россия),Go: (Россия),Spring Framework: (Россия)
2015-12-06,93,12,5
2015-12-13,90,13,4
2015-12-20,86,13,6
2015-12-27,74,15,2
2016-01-03,68,8,4
2016-01-10,83,12,7
2016-01-17,80,9,5
2016-01-24,81,14,4
2016-01-31,84,12,8
2016-02-07,83,12,4
2016-02-14,85,13,6
2016-02-21,77,10,6
2016-02-28,89,14,4
2016-03-06,74,13,5
2016-03-13,86,13,7
2016-03-20,94,11,8
2016-03-27,90,11,6
2016-04-03,85,15,9
2016-04-10,77,14,7
2016-04-17,90,14,6
2016-04-24,88,14,8
2016-05-01,72,10,4
2016-05-08,74,13,8
2016-05-15,84,12,6
2016-05-22,83,15,9
2016-05-29,77,13,11
2016-06-05,82,14,7
2016-06-12,76,14,5
2016-06-19,91,14,8
2016-06-26,84,12,8
2016-07-03,83,14,8
2016-07-10,84,16,6
2016-07-17,86,17,7
2016-07-24,86,15,9
2016-07-31,84,12,6
2016-08-07,78,12,7
2016-08-14,80,13,5
2016-08-21,74,16,8
2016-08-28,80,14,10
2016-09-04,68,12,7
2016-09-11,83,13,4
2016-09-18,82,10,8
2016-09-25,78,12,8
2016-10-02,84,14,7
2016-10-09,78,12,6
2016-10-16,90,12,10
2016-10-23,77,13,9
2016-10-30,82,11,7
2016-11-06,79,14,9
2016-11-13,74,15,9
2016-11-20,88,10,9
2016-11-27,80,11,8
2016-12-04,88,11,7
2016-12-11,83,12,7
2016-12-18,81,12,7
2016-12-25,65,10,6
2017-01-01,52,9,3
2017-01-08,75,10,10
2017-01-15,79,11,5
2017-01-22,78,11,9
2017-01-29,69,10,9
2017-02-05,83,12,9
2017-02-12,84,14,10
2017-02-19,76,12,6
2017-02-26,89,15,11
2017-03-05,87,10,9
2017-03-12,84,14,11
2017-03-19,100,11,12
2017-03-26,83,13,10
2017-04-02,85,10,12
2017-04-09,86,10,10
2017-04-16,81,7,8
2017-04-23,78,13,10
2017-04-30,73,9,8
2017-05-07,73,9,6
2017-05-14,82,11,7
2017-05-21,78,13,10
2017-05-28,78,13,7
2017-06-04,73,14,9
2017-06-11,64,12,7
2017-06-18,74,13,8
2017-06-25,75,13,9
2017-07-02,72,11,10
2017-07-09,71,13,5
2017-07-16,72,11,11
2017-07-23,72,12,10
2017-07-30,73,14,10
2017-08-06,83,8,7
2017-08-13,76,14,10
2017-08-20,70,15,8
2017-08-27,76,16,7
2017-09-03,75,14,7
2017-09-10,72,17,8
2017-09-17,84,14,12
2017-09-24,80,11,12
2017-10-01,77,14,9
2017-10-08,78,14,8
2017-10-15,81,15,9
2017-10-22,84,12,10
2017-10-29,85,12,12
2017-11-05,71,10,8
2017-11-12,77,15,10
2017-11-19,79,13,13
2017-11-26,76,16,9
2017-12-03,83,13,10
2017-12-10,77,11,9
2017-12-17,74,10,9
2017-12-24,74,11,11
2017-12-31,45,10,4
2018-01-07,70,14,9
2018-01-14,73,15,7
2018-01-21,79,19,12
2018-01-28,74,16,10
2018-02-04,77,16,13
2018-02-11,80,17,12
2018-02-18,79,16,10
2018-02-25,78,13,11
2018-03-04,67,12,11
2018-03-11,76,17,12
2018-03-18,81,16,11
2018-03-25,83,15,13
2018-04-01,77,19,13
2018-04-08,70,14,14
2018-04-15,69,13,11
2018-04-22,65,12,13
2018-04-29,59,15,6
2018-05-06,65,14,7
2018-05-13,71,15,9
2018-05-20,70,15,12
2018-05-27,71,15,13
2018-06-03,67,17,15
2018-06-10,56,13,9
2018-06-17,65,14,14
2018-06-24,69,13,9
2018-07-01,69,16,11
2018-07-08,73,14,14
2018-07-15,76,19,11
2018-07-22,73,14,10
2018-07-29,69,15,10
2018-08-05,69,17,9
2018-08-12,69,19,10
2018-08-19,72,16,11
2018-08-26,71,13,11
2018-09-02,67,16,12
2018-09-09,70,12,8
2018-09-16,73,18,10
2018-09-23,71,16,12
2018-09-30,65,13,10
2018-10-07,74,13,9
2018-10-14,75,14,11
2018-10-21,68,15,12
2018-10-28,71,17,14
2018-11-04,68,13,9
2018-11-11,64,19,8
2018-11-18,69,18,11
2018-11-25,75,13,10
2018-12-02,70,15,13
2018-12-09,69,15,11
2018-12-16,64,14,7
2018-12-23,58,12,10
2018-12-30,36,11,4
2019-01-06,56,11,8
2019-01-13,63,15,11
2019-01-20,67,12,9
2019-01-27,63,16,10
2019-02-03,75,17,10
2019-02-10,65,17,9
2019-02-17,64,17,11
2019-02-24,61,16,9
2019-03-03,60,14,6
2019-03-10,67,11,6
2019-03-17,63,15,9
2019-03-24,69,17,10
2019-03-31,74,18,10
2019-04-07,73,16,15
2019-04-14,72,13,15
2019-04-21,68,15,13
2019-04-28,62,13,8
2019-05-05,56,12,11
2019-05-12,73,14,14
2019-05-19,67,16,8
2019-05-26,71,17,12
2019-06-02,74,18,14
2019-06-09,70,20,13
2019-06-16,75,22,17
2019-06-23,75,15,13
2019-06-30,70,21,11
2019-07-07,73,16,11
2019-07-14,81,19,14
2019-07-21,78,20,15
2019-07-28,70,20,13
2019-08-04,73,21,12
2019-08-11,68,20,13
2019-08-18,75,17,12
2019-08-25,74,21,11
2019-09-01,77,24,20
2019-09-08,80,24,14
2019-09-15,73,19,12
2019-09-22,69,17,12
2019-09-29,79,15,11
2019-10-06,81,17,14
2019-10-13,76,20,13
2019-10-20,81,20,12
2019-10-27,69,17,14
2019-11-03,68,13,12
2019-11-10,78,15,15
2019-11-17,70,19,12
2019-11-24,75,18,13
2019-12-01,72,17,14
2019-12-08,71,18,12
2019-12-15,61,15,13
2019-12-22,60,10,10
2019-12-29,30,8,5
2020-01-05,52,10,6
2020-01-12,73,15,11
2020-01-19,69,17,12
2020-01-26,64,18,13
2020-02-02,63,18,14
2020-02-09,76,19,14
2020-02-16,70,19,15
2020-02-23,63,15,10
2020-03-01,74,16,16
2020-03-08,65,17,14
2020-03-15,66,16,11
2020-03-22,72,14,11
2020-03-29,65,15,10
2020-04-05,66,13,13
2020-04-12,70,15,11
2020-04-19,67,15,13
2020-04-26,70,18,11
2020-05-03,68,15,11
2020-05-10,56,18,14
2020-05-17,73,14,15
2020-05-24,65,18,12
2020-05-31,73,20,12
2020-06-07,65,15,12
2020-06-14,66,18,12
2020-06-21,64,17,12
2020-06-28,62,16,13
2020-07-05,65,16,13
2020-07-12,61,16,14
2020-07-19,78,19,14
2020-07-26,64,25,11
2020-08-02,71,18,15
2020-08-09,64,17,13
2020-08-16,68,20,15
2020-08-23,68,22,14
2020-08-30,60,18,12
2020-09-06,72,21,13
2020-09-13,64,12,11
2020-09-20,71,17,10
2020-09-27,67,14,11
2020-10-04,63,14,13
2020-10-11,58,10,12
2020-10-18,57,14,9
2020-10-25,58,11,11
2020-11-01,55,10,8
2020-11-08,62,12,9
2020-11-15,54,11,11
2020-11-22,56,9,9
2020-11-29,57,12,11
